cpf;curso ;area;unidade;turno;mensalidade;situacao_pgto;forma_pgto;genero;idade;pcd;estagio;dps;pegou_certificado
4391492;tecnico em mediacao legal;juridico;Unidade Centro;Noite;2716;nao pago;2;F;37;sim;nao;N/DP;nao
3834633;tecnico em gestao;Exatas;Unidade Centro;Noite;2243;nao pago;1;M;24;nao;sim;N/DP;sim
3919815;tecnico em Enfermagem;saude;Unidade Sul;Tarde;3232;nao pago;2;F;21;sim;sim;N/DP;sim
4218014;tecnico em Direito;juridico;Unidade Centro;Noite;3531;nao pago;3;F;31;sim;sim;N/DP;nao
3104169;tecnico em informatica;Exatas;Unidade Norte;Noite;3624;pago;2;M;36;sim;sim;N/DP;nao
4964890;tecnico em nutricao;saude;Unidade Norte;Tarde;2251;pago;3;F;43;sim;nao;DP;sim
3500271;tecnico em informatica;Exatas;Unidade Norte;Tarde;1882;nao pago;2;M;41;sim;sim;N/DP;sim
4669800;tecnico em Radiologia;saude;Unidade Sul;Tarde;1817;nao pago;2;F;37;nao;nao;DP;sim
3808819;tecnico em estatistica;Exatas;Unidade Sul;manha;2100;nao pago;2;F;34;nao;nao;DP;nao
4067933;tecnico em nutricao;saude;Unidade Centro;Noite;1779;pago;1;M;43;sim;nao;DP;sim
4099949;tecnico em estatistica;Exatas;Unidade Sul;Noite;3061;nao pago;1;F;19;sim;nao;DP;sim
3896945;tecnico em Radiologia;saude;Unidade Norte;manha;3816;pago;1;M;42;sim;sim;N/DP;nao
4893441;tecnico em nutricao;saude;Unidade Sul;manha;1432;nao pago;2;F;24;sim;sim;DP;nao
4237615;tecnico em gestao;Exatas;Unidade Sul;Tarde;2705;nao pago;1;M;33;nao;nao;N/DP;sim
4019451;tecnico em informatica;Exatas;Unidade Sul;Tarde;2102;nao pago;1;F;34;nao;sim;DP;sim
3890203;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;1960;nao pago;3;M;19;nao;nao;N/DP;sim
3469520;tecnico em gestao;Exatas;Unidade Sul;manha;2461;pago;2;M;36;sim;sim;DP;nao
4978908;tecnico em gestao;Exatas;Unidade Sul;Tarde;3585;nao pago;2;F;20;sim;sim;N/DP;nao
4786491;tecnico em mediacao legal;juridico;Unidade Sul;Noite;3326;nao pago;3;F;38;nao;nao;N/DP;sim
4728483;tecnico em informatica;Exatas;Unidade Centro;manha;1548;nao pago;3;M;26;nao;nao;DP;nao
4591071;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;1699;pago;3;F;44;sim;nao;DP;nao
3597652;tecnico em informatica;Exatas;Unidade Sul;Noite;2738;pago;3;F;44;nao;nao;N/DP;nao
3231302;tecnico em Enfermagem;saude;Unidade Centro;Noite;3929;nao pago;3;M;21;sim;sim;N/DP;sim
3549596;tecnico em Enfermagem;saude;Unidade Centro;Noite;2587;nao pago;2;M;18;sim;nao;DP;sim
4348165;tecnico em informatica;Exatas;Unidade Sul;Tarde;2321;pago;3;F;34;nao;sim;DP;sim
4701052;tecnico em Enfermagem;saude;Unidade Norte;Noite;2671;pago;3;M;24;nao;nao;N/DP;sim
3463567;tecnico em nutricao;saude;Unidade Sul;Tarde;2808;nao pago;1;M;45;sim;nao;N/DP;nao
3691952;tecnico em Direito;juridico;Unidade Norte;manha;1484;nao pago;2;F;37;nao;sim;DP;sim
4668612;tecnico em estatistica;Exatas;Unidade Centro;manha;2337;pago;1;F;36;sim;nao;N/DP;nao
3333368;tecnico em informatica;Exatas;Unidade Norte;Noite;1514;nao pago;3;F;33;nao;nao;N/DP;nao
4879351;tecnico em gestao;Exatas;Unidade Norte;Tarde;3664;pago;3;M;23;sim;sim;DP;sim
3138647;tecnico em nutricao;saude;Unidade Norte;manha;2903;nao pago;3;M;42;nao;nao;DP;sim
4511370;tecnico em mediacao legal;juridico;Unidade Centro;Noite;2557;pago;2;M;31;sim;nao;N/DP;sim
4351554;tecnico em nutricao;saude;Unidade Centro;Noite;1958;nao pago;2;M;27;nao;sim;N/DP;nao
3472754;tecnico em nutricao;saude;Unidade Norte;Tarde;3541;nao pago;1;F;28;nao;sim;N/DP;sim
4312356;tecnico em Enfermagem;saude;Unidade Sul;manha;3263;nao pago;3;F;31;nao;sim;DP;sim
4619357;tecnico em Enfermagem;saude;Unidade Sul;manha;2967;nao pago;2;F;40;sim;nao;DP;sim
4828617;tecnico em gestao;Exatas;Unidade Sul;Noite;2751;nao pago;3;M;44;nao;sim;N/DP;nao
3996898;tecnico em estatistica;Exatas;Unidade Centro;manha;1793;pago;1;M;45;sim;nao;DP;nao
3289177;tecnico em Enfermagem;saude;Unidade Centro;Noite;1469;pago;2;M;33;nao;sim;DP;sim
3576606;tecnico em Direito;juridico;Unidade Norte;manha;2222;pago;2;M;29;nao;sim;N/DP;nao
4080987;tecnico em Direito;juridico;Unidade Centro;Tarde;3541;pago;2;F;43;nao;sim;DP;sim
